Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,4EX,SW,SW2,
BA1,4EY,SW,SW2,
BA1,4EZ,SW,SW2,
BA1,4HE,SW,SW2,
BA1,4HF,SW,SW2,
BA1,4HG,SW,SW2,
BA1,4HH,SW,SW2,
BA1,4HJ,SW,SW2,
BA1,4HN,SW,SW2,
BA1,4HP,SW,SW2,
BA1,4HQ,SW,SW2,
BA1,4HR,SW,SW2,
BA1,4HS,SW,SW2,
BA1,4HT,SW,SW2,
BA1,4HU,SW,SW2,
BA1,4HW,SW,SW2,
BA1,4HX,SW,SW2,
BA1,4HY,SW,SW2,
BA1,4JA,SW,SW2,
BA1,4JD,SW,SW2,
BA1,4JE,SW,SW2,
BA1,4JF,SW,SW2,
BA1,4JG,SW,SW2,
BA1,4JH,SW,SW2,
BA1,4JJ,SW,SW2,
BA1,4JL,SW,SW2,
BA1,4JN,SW,SW2,
BA1,4JP,SW,SW2,
BA1,4JQ,SW,SW2,
BA1,4JR,SW,SW2,
BA1,4JW,SW,SW2,
BA1,4JY,SW,SW2,
BA1,4JZ,SW,SW2,
BA1,4LA,SW,SW2,
BA1,4LB,SW,SW2,
BA1,4LD,SW,SW2,
BA1,4LH,SW,SW2,
BA1,4LJ,SW,SW2,
BA1,4LN,SW,SW2,
BA1,4LP,SW,SW2,
BA1,4LR,SW,SW2,
BA1,4LS,SW,SW2,
BA1,4LT,SW,SW2,
BA1,4LW,SW,SW2,
BA1,4NB,SW,SW2,
BA1,4ND,SW,SW2,
BA1,4NE,SW,SW2,
BA1,4NF,SW,SW2,
BA1,4NG,SW,SW2,
BA1,4NH,SW,SW2,
BA1,4NP,SW,SW2,
BA1,4NQ,SW,SW2,
BA1,4NR,SW,SW2,
BA1,4NS,SW,SW2,
BA1,4NW,SW,SW2,
BA1,4NX,SW,SW2,
BA1,4PA,SW,SW2,
BA1,5AB,SW,SW2,
BA1,5AD,SW,SW2,
BA1,5AE,SW,SW2,
BA1,5AF,SW,SW2,
BA1,5AH,SW,SW2,
BA1,5AJ,SW,SW2,
BA1,5AL,SW,SW2,
BA1,5AN,SW,SW2,
BA1,5AP,SW,SW2,
BA1,5AQ,SW,SW2,
BA1,5AR,SW,SW2,
BA1,5AS,SW,SW2,
BA1,5AW,SW,SW2,
BA1,5AX,SW,SW2,
BA1,5BB,SW,SW2,
BA1,5BD,SW,SW2,
BA1,5BE,SW,SW2,
BA1,5BG,SW,SW2,
BA1,5BJ,SW,SW2,
BA1,5BL,SW,SW2,
BA1,5BN,SW,SW2,
BA1,5BS,SW,SW2,
BA1,5BU,SW,SW2,
BA1,5BW,SW,SW2,
BA1,5BX,SW,SW2,
BA1,5DA,SW,SW2,
BA1,5DB,SW,SW2,
BA1,5DD,SW,SW2,
BA1,5DF,SW,SW2,
BA1,5DG,SW,SW2,
BA1,5DH,SW,SW2,
BA1,5DJ,SW,SW2,
BA1,5DU,SW,SW2,
BA1,5DX,SW,SW2,
BA1,5DY,SW,SW2,
BA1,5DZ,SW,SW2,
BA1,5ED,SW,SW2,
BA1,5EE,SW,SW2,
BA1,5EF,SW,SW2,
BA1,5EG,SW,SW2,
BA1,5EH,SW,SW2,
BA1,5EJ,SW,SW2,
BA1,5EL,SW,SW2,
BA1,5EN,SW,SW2,
BA1,5EQ,SW,SW2,
BA1,5ER,SW,SW2,
BA1,5ES,SW,SW2,
BA1,5ET,SW,SW2,
BA1,5EX,SW,SW2,
BA1,5EZ,SW,SW2,
BA1,5HA,SW,SW2,
BA1,5HB,SW,SW2,
BA1,5HD,SW,SW2,
BA1,5HE,SW,SW2,
BA1,5HF,SW,SW2,
BA1,5HG,SW,SW2,
BA1,5HH,SW,SW2,
BA1,5HP,SW,SW2,
BA1,5HR,SW,SW2,
BA1,5HS,SW,SW2,
BA1,5HT,SW,SW2,
BA1,5HU,SW,SW2,
BA1,5HX,SW,SW2,
BA1,5HY,SW,SW2,
